location,style,claim_text,numeric_tokens,risk_tags,evidence_grade,decision,replacement
paragraph:4,Normal,"方案底层采用业务线解析方法（BLP）将企业级自由文本拆分为独立业务线，中层通过关键词加权模型（BKW）与体育自定义词典完成业务线识别，上层基于业务范围占比、关键词密度、行业代码权重、业态覆盖度四个维度加权计算体育业务经营比重。基于四川省76,687（样本数据来源于合作单位提供的脱敏企业登记信息）家工商企业全样本开展实证验证，设置四组基线对比实验与四维度综合评估。","76,687",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:5,Normal,实证结果表明：融合识别法较传统行业代码法将体育企业识别覆盖率从10.45%提升至11.67%，净增识别934家有效体育企业，整体识别规模提升11.7%；其中跨界经营企业达977家（纯跨界951家，潜在跨界26家），电子竞技、体育传媒等新兴业态识别率进展90%，有效弥补了国标分类的盲区。基于产出指数法匡算，可纠正约6亿元产业规模低估。空间分布呈“成都一家独大”格局，CR3集中度达77.3%。,10.45%;11.67%;934;11.7%;977;951;26;90%;6;77.3%,economic_benefit;concentration;output_value,D,rewrite_as_scope,系统具备减少重复统计作业的潜力，实际经济效益需结合部署范围、人员工时和成本台账另行评估。
paragraph:6,Normal,"该方案支持零标注冷启动，单台服务器文本处理速率约6,300条/秒，折算日处理能力约7万家企业，识别过程全可解释、可追溯。配套开发全栈Web可视化平台，支持交互式数据下钻与报告自动生成，可直接服务统计部门工作。整套方法论可迁移至文化创意、数字经济、绿色环保等其他跨界新兴产业统计场景。","6,300;7",performance,D,remove,当前材料未提供可复核的压力测试原始记录，因此不报告平台性能数值。
paragraph:10,Heading 2,1.1 选题背景,1.1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:11,Normal,体育产业精准统计作为推动经济高质量发展的重要增长点、满足人民美好生活需要的重要载体，其产业规模的精准统计是国家制定产业政策、优化资源配置的核心基础。《健康中国2030规划纲要》和《体育强国建设纲要》均明确提出要加快体育产业发展，完善体育产业统计体系。,2030,output_value,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:12,Normal,然而，当前体育产业统计面临深层次的方法论困境：现行GB/T 4754-2017《国民经济行业分类》标准仅依托行业代码判定法识别产业归属，在多元经营日益普及的背景下，大量传统企业跨界布局体育赛事、健身休闲、电子竞技等新兴业务，这些新业务无法被行业代码所反映[1]。,4754;2017;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:14,Normal,"其一，识别覆盖不全：实证数据显示，在76,687家企业样本中，采用传统行业代码法仅能识别8,016家体育企业（10.45%），至少934家实际从事体育业务的企业被遗漏（若计入潜在跨界经营企业则达977家）；","76,687;8,016;10.45%;934;977",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:16,Normal,其三，新兴业态盲区：电子竞技和体育传媒的跨界率分别高达91%和94%，在现行分类体系中缺乏对应代码，几乎较为“隐形”于统计视野之外。（跨界率定义：某业态中行业代码不直接属于体育产业、但实际经营体育业务的企业占该业态总企业数的比例，计算公式为：）,91%;94%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:18,Heading 2,1.2 国内外研究现状,1.2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:19,Heading 3,1.2.1 产业统计方法研究,1.2;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
